"Part Nbr","Description","Inv Type","Sales Code","Lead Code","Engr Status","Whse Location","Qty On Hand","UOM","List Price","Acctg Cost"
"","","","","","","","0","","0.00000",""
"201-0100","406/19 LORD PAK ADHESIVE","FADHES","","P","A","","-23","TUBE","129.62250","74.07000"
"201-0110","7542A/B 50ML SM LORD PACK ADH.","FADHES","","P","A","","-3","TUBE","14.45000","8.36250"
"201-0112","Lord Adhesive 7550","FADHES","","P","A","","5","TUBE","52.23750","29.85000"
"201-0120","EPOXY FOR HILTI/ANCHOR ADH","FADHES","","P","A","","0","TUBE","42.77000","22.82830"
"201-0130","3M ADHESIVE REMOVER #08984","FADHES","","P","A","","48","OZ","0.83290","0.47594"
"201-0140","SPRAY ADHESIVE","FADHES","","P","A","","0","CAN","22.18000","12.73000"
"201-0150","BLACK CAULKING","FADHES","","P","A","","1","TUBE","9.48000","4.40000"
"201-0160","BRONZE CAULK","FADHES","","P","A","","0","TUBE","6.43000","3.67670"
"201-0170","BROWN CAULKING","FADHES","","P","A","","1","TUBE","4.32000","2.47000"
"201-0180","NP-I DARK BRONZE CAULKING","FADHES","","P","A","","0","TUBE","5.82000","3.32750"
"201-0190","GRAY CAULKING","FADHES","","P","A","","0","TUBE","6.45000","3.59330"
"201-0200","LIMESTONE CAULKING NP-1","FADHES","","P","A","","1","TUBE","5.69000","3.25330"
"201-0210","MASONRY CAULKING NP-1","FADHES","","P","A","","0","TUBE","8.21000","4.69000"
"201-0220","CANDY APPLE RED CAULK","FADHES","","P","A","","0","TUBE","12.19000","7.31500"
"201-0230","REDWOOD CAULKING NP-1","FADHES","","P","A","","0","TUBE","8.16000","4.66500"
"201-0240","SILVER CAULK METALLIC","FADHES","","P","A","","0","TUBE","12.04000","7.46920"
"201-0250","DARK TAN CAULKING","FADHES","","P","A","","0","TUBE","5.55000","3.17000"
"201-0260","WHITE BUTYL CAULK","FADHES","","P","A","","0","TUBE","2.49000","1.27500"
"201-0270","NP-1 WHITE CAULKING","FADHES","","P","A","","0","TUBE","8.17250","4.67000"
"201-0275","40 YR SILICONE ACRYLIC LATEX WHITE CAULK","FADHES","","P","A","","21","TUBE","15.71500","8.98000"
"201-0280","25 YR WHITE CAULKING","FADHES","","P","A","","60","TUBE","9.34000","3.15650"
"201-0285","#3 WELD ON PLASTIC CEMENT","FADHES","","P","A","","352","OZ","1.68410","0.96234"
"201-0290","#16 WELD ON PLASTIC CEMENT","FADHES","","P","A","20","438","OZ","1.85500","1.06000"
