Customer,P.O. Nbr,SO Nbr,S.O. Date,Invoices,Order Status,Order Line/Status
31750 - COUNTRY INN & STES,,61868,12/12/2006,61868,Closed,1 - Closed
87150 - PILOT TRAVEL CENTERS LLC,,61934,1/18/2007,61934,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
,,,,,,9 - Closed
109150 - TACO JOHN'S,,61910,1/24/2007,61910,Closed,1 - Closed
2165 - PUMP IT UP,,61969,1/31/2007,61969,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
57200 - INSIGNIA SIGN GROUP,,61971,1/31/2007,61971,Closed,1 - Closed
109450 - TACO JOHN'S,,62008,2/16/2007,62008,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
,,,,,,9 - Closed
,,,,,,10 - Closed
,,,,,,11 - Closed
,,,,,,12 - Closed
,,,,,,13 - Closed
,,,,,,14 - Closed
,,,,,,15 - Closed
,,,,,,16 - Closed
,,,,,,17 - Closed
38050 - EAGLE SIGN CO.,,62012,2/19/2007,,Closed,1 - Closed
"118200 - UNO RESTAURANTS, LLC.",,62026,2/22/2007,62026,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
,,,,,,9 - Closed
,,,,,,10 - Closed
,,,,,,11 - Closed
,,,,,,12 - Closed
,,,,,,13 - Closed
38050 - EAGLE SIGN CO.,,62030,2/22/2007,,Closed,1 - Closed
38050 - EAGLE SIGN CO.,,62031,2/22/2007,,Closed,1 - Closed
50250 - GOODYEAR,,62048,3/1/2007,62048,Closed,1 - Closed
2195 - TACO JOHN'S,,62060,3/8/2007,62060,Closed,1 - Closed
109460 - TACO JOHN'S,,62064,3/9/2007,62064,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
,,,,,,9 - Closed
,,,,,,10 - Closed
,,,,,,11 - Closed
,,,,,,12 - Closed
,,,,,,13 - Closed
,,,,,,14 - Closed
,,,,,,15 - Closed
,,,,,,16 - Closed
,,,,,,17 - Closed
2124 - CHRISTOPHERSON PROPERTIES,,62068,3/13/2007,,Closed,1 - Closed
,,,,,,2 - Closed
38050 - EAGLE SIGN CO.,,62074,3/14/2007,,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
38050 - EAGLE SIGN CO.,,62076,3/14/2007,,Closed,1 - Closed
,,,,,,2 - Deleted
,,,,,,3 - Deleted
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
38050 - EAGLE SIGN CO.,,62078,3/14/2007,,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
106000 - SUPER WASH,,62084,3/19/2007,,Closed,1 - Deleted
2198 - PANCHERO'S MEXICAN GRILL,,62085,3/19/2007,,Closed,1 - Closed
38050 - EAGLE SIGN CO.,,62093,3/20/2007,,Closed,1 - Closed
1800 - ACME ELECTRIC,,62094,3/21/2007,,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
120800 - WALTERS COMPANIES,,62086,3/22/2007,62086,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
2199 - CINNAMONSTER,,62097,3/22/2007,62097,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
2172 - COMPLETE ELECTRIC,,62104,3/27/2007,62104,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Deleted
,,,,,,4 - Closed
2182 - TACO JOHN'S,,62105,3/27/2007,62105,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
,,,,,,5 - Closed
,,,,,,6 - Closed
,,,,,,7 - Closed
,,,,,,8 - Closed
,,,,,,9 - Closed
,,,,,,10 - Closed
,,,,,,11 - Closed
,,,,,,12 - Closed
,,,,,,13 - Closed
95950 - NATIONAL CARWASH SOLUTIONS,134085,62110,3/27/2007,62110,Closed,1 - Closed
95950 - NATIONAL CARWASH SOLUTIONS,134085,62111,3/27/2007,62111,Closed,1 - Closed
95950 - NATIONAL CARWASH SOLUTIONS,134085,62112,3/27/2007,62112,Closed,1 - Closed
95950 - NATIONAL CARWASH SOLUTIONS,134085,62114,3/27/2007,62114,Closed,1 - Closed
38050 - EAGLE SIGN CO.,,62121,3/28/2007,,Closed,1 - Closed
38050 - EAGLE SIGN CO.,,62122,3/28/2007,,Closed,1 - Closed
,,,,,,2 - Closed
,,,,,,3 - Closed
,,,,,,4 - Closed
