"Type","Ven Nbr","Vendor Address                               ","Remit to                                     ","Contact Info                                 ","Terms","Last PO","Last Payment"
"","003881","SIGNS INC                                    ","SAME                                         ","ROBERT TEASLEY                               ","Net 30","8932","Ck #003881"
"","","PO BOX 8609                                  ","                                             ","Ph : 706 569 9952                            ","","6/19/13","7/31/13"
"","","6100 COCA COLA BLVD                          ","                                             ","                                             ","","","1,100.00"
"","","COLUMBUS, GA 31908                           ","                                             ","                                             ","","",""
"","1006","FORBIN                                       ","SAME                                         ","Ph : 877-814-7485                            ","NET 10 DAYS","6036","Ck #1006"
"","","PO BOX 2817                                  ","                                             ","                                             ","","4/12/11","4/12/18"
"","","WATERLOO, IA 50704                           ","                                             ","                                             ","","","305.49"
"","1009","ATLANTIC SIGNS                               ","SAME                                         ","ALEX MAC LELLAN                              ","1% 10th of month net eom","1056","Ck #1009"
"","","120 ASHBARN ROAD / PO BOX 2324               ","                                             ","alex@atlanticsigns.com                       ","","5/16/07","6/25/07"
"","","ST. JOHN, NB e2J 2e2                         ","                                             ","Ph : 800 454 3444                            ","","","410.40"
"","","                                             ","                                             ","Fax: 506 633 5071                            ","","",""
"","1010","JAYME HEISELMAN                              ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #1010"
"","","221 SW PARK AVE                              ","                                             ","                                             ","","","7/24/07"
"","","DES MOINES, IA 50315                         ","                                             ","                                             ","","","100.00"
"","1012","S & B MAID-RITE, INC.                        ","MAID-RITE CORPORATION                        ","STEVEN R. SWANSON                            ","1% 10th of month net eom","","Ck #2755"
"","","SOUTHBRIDGE MALL                             ","2951 86TH ST                                 ","Ph : 641-494-7692                            ","","","5/22/07"
"","","100 S FEDERAL AVE                            ","100 S FEDERAL AVE                            ","                                             ","","","221.40"
"","","MASON CITY, IA 50401                         ","URBANDALE, IA 50322                          ","                                             ","","",""
"","1013","MAID-RITE OF PELLA, INC.                     ","MAID-RITE CORPORATION                        ","LORI MULLEN                                  ","1% 10th of month net eom","","Ck #4032"
"","","1514 WASHINGTON, STE 104                     ","2951 86TH ST                                 ","Ph : 641-628-4447                            ","","","2/28/08"
"","","PELLA, IA 50219                              ","URBANDALE, IA 50322                          ","                                             ","","","2,165.29"
"","1015","STIVERS FORD                                 ","SAME                                         ","shawxby@stiversfordia.com                    ","NET 30 DAYS","25277","Ck #1015"
"","","1450 EAST HICKMAN RD.                        ","                                             ","Ph : 515 987 7233                            ","","7/18/25","6/26/25"
"","","WAUKEE, IA 50263                             ","                                             ","Fax: 515 987-0163                            ","","","800.51"
"","1016","JT RYERSON & SON INC                         ","SAME                                         ","JOSEPH BOLDUC                                ","1/2% / 10 DAYS N 30","24419","Ck #1016"
"","","24487 NETWORK PLACE                          ","                                             ","Joseph.Bolduc@ryerson.com                    ","","11/11/24","11/18/24"
"","","CHICAGO, IL 60673-1244                       ","                                             ","Ph : 763-531-4237                            ","","","588.65"
"","1018","TACO JOHN'S                                  ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #2798"
"","","415 E SIOUX AVE                              ","                                             ","                                             ","","","6/6/07"
"","","PIERRE, SD 57501                             ","                                             ","                                             ","","","584.10"
"","1019","GENE GALLAGHER                               ","SAME                                         ","                                             ","NET 30 DAYS","","Ck #2803"
"","","2600 SAMPSON                                 ","                                             ","                                             ","","","6/12/07"
"","","DES MOINES, IA 50313                         ","                                             ","                                             ","","","40.00"
"","1021","TOWN OF GRAND CHUTE                          ","SAME                                         ","JOHN SIEBERT                                 ","NET 30 DAYS","","Ck #2846"
"","","1900 GRAND CHUTE BLVD                        ","                                             ","                                             ","","","6/18/07"
"","","GRAND CHUTE, WI 54911                        ","                                             ","                                             ","","","1,400.00"
"","1022","IOWA PAINT                                   ","SAME                                         ","Ph : 515-266-8054                            ","NET 30 DAYS","",""
"","","4525 NE 14TH ST                              ","                                             ","Fax: 515-265-4480                            ","","6/20/07",""
"","","DES MOINES, IA 50313                         ","                                             ","                                             ","","",""
"","1023","CITY OF CEDAR RAPIDS - TREASURER             ","SAME                                         ","TAMMY SEBER                                  ","NET 30 DAYS","","Ck #17500"
"","","ATTN: TAMMY SEBER                            ","                                             ","Ph : 319-286-5164                            ","","","11/20/17"
"","","500 15TH AVE. SW                             ","                                             ","Fax: 319-286-5830                            ","","","32.10"
"","","CEDAR RAPIDS, IA 52404                       ","                                             ","                                             ","","",""
"","1024","CITY OF TAYLOR                               ","SAME                                         ","JOHN CARTER                                  ","NET 30 DAYS","","Ck #2854"
"","","BUILDING DEPARTMENT                          ","                                             ","Ph : 734-374-1515                            ","","","6/26/07"
"","","23555 GODDARD RD                             ","                                             ","                                             ","","","330.00"
"","","TAYLOR, MI 48180                             ","                                             ","                                             ","","",""
"","1025","COMMUNITY MOTOR CO.                          ","SAME                                         ","LON PETERSON                                 ","NET 30 DAYS","","Ck #2898"
"","","ATTN: LON PETERSON                           ","                                             ","                                             ","","","6/29/07"
"","","4521 UNIVERSITY AVE                          ","                                             ","                                             ","","","17,585.90"
"","","CEDAR FALLS, IA 50613                        ","                                             ","                                             ","","",""
"","1026","OVERHEAD DOOR COMPANY OF DES MOINES          ","OVERHEAD DOOR COMPANY OF DES MOINES          ","                                             ","NET 30 DAYS","4502","Ck #1026"
"","","15205 HICKMAN                                ","PO BOX 3565                                  ","                                             ","","2/17/10","6/21/16"
"","","CLIVE, IA 50325                              ","URBANDALE, IA 50322                          ","                                             ","","","757.90"
"","1027","KAREN'S PRINT-RITE                           ","SAME                                         ","NANCY                                        ","NET 30 DAYS","13668","Ck #1027"
"","","2515 FALLS AVEENUE                           ","                                             ","Ph : 319-235-6085                            ","","6/17/16","7/14/16"
"","","WATERLOO, IA 50701                           ","                                             ","Fax: 319-232-8515                            ","","","408.31"
"","1028","CITY OF COUNCIL BLUFFS BUILDING DIVISION     ","SAME                                         ","DAN WOELLHOFF - INSPECTIONS DEPT.            ","NET 30 DAYS","","Ck #21528"
"","","ATTN: ALICIA MYERS                           ","                                             ","                                             ","","","2/18/21"
"","","209 PEARL                                    ","                                             ","                                             ","","","14.33"
"","","COUNCIL BLUFFS, IA 51503                     ","                                             ","                                             ","","",""
"","1029","CITY OF ELDRIDGE                             ","CITY OF ELDRIDGE                             ","MATT                                         ","NET 30 DAYS","","Ck #1029"
"","","305 N 3RD ST                                 ","PO BOX 375                                   ","Ph : 563-285-4841                            ","","","8/6/07"
"","","ELDRIGE, IA 52748                            ","ELDRIDGE, IA 52748                           ","Fax: 563-285-7376                            ","","","50.00"
"","1031","ZACHARY GALLMEYER                            ","SAME                                         ","Ph : 515-745-6357                            ","NET 30 DAYS","","Ck #5191"
"","","2733 MAPLE ST                                ","                                             ","                                             ","","","1/8/09"
"","","DES MOINES, IA 50317                         ","                                             ","                                             ","","","430.00"
"","1032","CONCRETE SUPPLY OF IOWA LLC                  ","SAME                                         ","EXILE A CO.                                  ","NET 30 DAYS","15586","Ck #1032"
"","","PO BOX 3229                                  ","                                             ","choyt@rasmussengroup.com                     ","","10/17/17","10/28/17"
"","","DES MOINES, IA 50316                         ","                                             ","Ph : 515 266 5173                            ","","","317.46"
"","","                                             ","                                             ","Fax: 515 225 1778                            ","","",""
"","1033","SUPERIOR SIGN & LIGHTING LTD                 ","SAME                                         ","RAY DORSETT                                  ","1% 10th of month net eom","1359","Ck #1033"
"","","2001 E LOHMAN 110-286                        ","                                             ","Ph : 505 541 4595                            ","","7/17/07","1/16/08"
"","","LAS CRUCES, NM 88001                         ","                                             ","Fax: 915 629 9105                            ","","","2,288.19"
"","1034","CITY OF WINDSOR HEIGHTS                      ","SAME                                         ","Ph : 515-279-3662                            ","1% 10th of month net eom","","Ck #23014"
"","","1133 66TH ST                                 ","                                             ","Fax: 515-279-3664                            ","","","5/19/22"
"","","WINDSOR HEIGHTS, IA 50311                    ","                                             ","                                             ","","","95.20"
"","1035","PRAIRIE SIGNS INC                            ","SAME                                         ","ANDY CARBY                                   ","Balance Due Upon Completion","20498","Ck #1035"
"","","1215 WARRINER ST                             ","                                             ","acarby@prairiesigns.com                      ","","12/16/21","4/26/22"
"","","NORMAL, IL 61761-3334                        ","                                             ","Ph : 800 611 9090                            ","","","1,998.00"
"","","                                             ","                                             ","Fax: 309 454 8741                            ","","",""
"","1036","WHITEY'S BODY SHOP, INC                      ","SAME                                         ","MIKE ALSTED                                  ","NET 30 DAYS","1394","Ck #1036"
"","","2924 RACCOON                                 ","                                             ","Ph : 515-265-4372                            ","","7/24/07","8/10/07"
"","","DES MOINES, IA 50317                         ","                                             ","Fax: 515-266-5518                            ","","","410.32"
"","1037","CITY OF WEST DES MOINES                      ","SAME                                         ","SIGN PERMITS                                 ","NET 30 DAYS","","Ck #26697"
"","","BUILDING INSPECTION DIVISION                 ","                                             ","                                             ","","","6/9/25"
"","","PO BOX 65320                                 ","                                             ","                                             ","","","157.13"
"","","WEST DES MOINES, IA 50265-0320               ","                                             ","                                             ","","",""
"","1038","SHERWIN-WILLIAMS PAINTS                      ","SAME                                         ","Ph : 515-987-4048                            ","NET 30 DAYS","24382","Ck #1038"
"","","ACCOUNTS RECEIVABLE DEPT                     ","                                             ","Fax: 515-987-4053                            ","","10/30/24","2/7/25"
"","","2570 E 1ST ST                                ","                                             ","                                             ","","","77.94"
"","","GRIMES, IA 50111-7606                        ","                                             ","                                             ","","",""
"","1039","ROBERT REISER                                ","SAME                                         ","Ph : 515-988-6910                            ","NET 30 DAYS","","Ck #1039"
"","","7425 WISTFUL VISTA DR #1107                  ","                                             ","                                             ","","","9/10/07"
"","","WEST DES MOINES, IA 50266                    ","                                             ","                                             ","","","35.98"
"","1040","MILLIKEN WHOLESALE DISTRIBUTION              ","SAME                                         ","JOYCE OR MICHELLE                            ","NET 30 DAYS","8060","Ck #1040"
