Code	Description
ADA	ADA SIGNS INTERIOR WAYFINDING
ALULIT	ALUMINUM CABINET LIT
ALUNON	ALUMINUM CABINET NONLIT
AWNILL	AWNING ILLUMINATED
AWNNON	AWNING NON-ILLUMINATED
AWNREC	AWNING RECOVER
BANPRN	PRINTED BANNER
BANSTK	STOCK BANNER - VINYL COPY
BLANK	GRIMCO BLANK
BLDILL	SF BUILDING SIGN ILLUMINATED
BLDNON	SF BUILDING SIGN NONLIT
CASMET	CAST METAL LETTERS
CLLIT	CHANNEL LETTERS LIT
CLNON	CHANNEL LETTERS NONLIT
DIRECT	DIRECTIONAL
FFACE	"FACES, FORMED"
FLAG	FLAGS & FLAG POLES
FORMED	FORMED ALUMINUM
GEMINI	GEMINI LETTERS
ILLUM	ILLUMINATED CABINET ALUMINUM
JOBPRN	JOB SITE SIGN PRINTED
JOBVIN	JOB SITE SIGN VINYL APPLIED
LED	LED LIGHTING
LETPLA	FORMED PLASTIC LETTERS
MAGNET	MAGNETIC SIGNS
MILLIK	MILLIKEN FRAME COOLEY
MONDF	MONUMENT SIGN DF
MONSF	MONUMENT SIGN SF
NEON	NEON
OTHER	MISCELLANEOUS SIGN
OVRLAY	.040 ALUMINUM OVERLAY
POLLIT	POLE SIGN LIT
POLNON	POLE SIGN NONLIT
PRNGRA	PRINTED GRAPHICS
RTLT	ROUTED LETTERS
STLLIT	STEEL FABBED CABINET LIT
STLNON	STEEL FABBED CABINET NONLIT
VINYL	VINYL LETTERS & GRAPHICS
