"Prod Type","Description","Count","Gross Sales (Total)","Total Cost (Total)","Gross Margin","GM %"
"ADA","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=ADA' target='_blank'>ADA SIGNAGE</a>","8","3,590.43","1,610.34","1,980.09","55.1"
"FRT","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=FRT' target='_blank'>FREIGHT - SHIPPING CHARGES</a>","183","74,572.55","34,070.30","40,502.25","54.3"
"BANNER","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=BANNER' target='_blank'>BANNERS</a>","227","226,098.75","115,330.38","110,768.37","49.0"
"REPFCE","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=REPFCE' target='_blank'>REPLACEMENT FACES</a>","1,392","3,625,601.81","1,857,665.74","1,767,936.07","48.8"
"GRAVEH","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=GRAVEH' target='_blank'>VEHICLE GRAPHICS</a>","27","25,694.63","13,300.65","12,393.98","48.2"
"FALU","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=FALU' target='_blank'>FORMED ALUMINUM</a>","8","16,056.31","8,799.82","7,256.49","45.2"
"RTLT","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=RTLT' target='_blank'>ROUTED LETTERS</a>","226","499,869.52","274,582.16","225,287.36","45.1"
"FLAG","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=FLAG' target='_blank'>FLAGS, FLAG POLES & ACCESSORIES</a>","37","70,005.02","39,340.56","30,664.46","43.8"
"LIFTS","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=LIFTS' target='_blank'>CRANE SERVICE</a>","39","15,161.75","8,777.12","6,384.63","42.1"
"CASTMT","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=CASTMT' target='_blank'>CAST METAL LETTERS</a>","52","129,901.58","75,776.96","54,124.62","41.7"
"AWNING","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=AWNING' target='_blank'>AWNINGS - ALL TYPES</a>","417","1,629,859.58","969,165.83","660,693.75","40.5"
"DRCT","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=DRCT' target='_blank'>DIRECTIONAL SIGNS</a>","666","1,994,235.41","1,188,808.42","805,426.99","40.4"
"CHANNL","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=CHANNL' target='_blank'>CHANNEL LETTERS</a>","1,456","6,193,382.58","3,715,381.60","2,478,000.98","40.0"
"PLCUT","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=PLCUT' target='_blank'>CUT PLASTIC/ACRYLIC LETTERS</a>","46","44,847.71","26,955.66","17,892.05","39.9"
"ALUM","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=ALUM' target='_blank'>ALUMINUM PANELS</a>","175","309,973.90","186,496.40","123,477.50","39.8"
"INT","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=INT' target='_blank'>INTERIOR SIGNS</a>","440","482,759.77","291,715.32","191,044.45","39.6"
"BLDG","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=BLDG' target='_blank'>BUILDING SIGNS</a>","1,010","3,028,484.18","1,835,154.03","1,193,330.15","39.4"
"VINYL","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=VINYL' target='_blank'>VINYL GRAPHICS</a>","1,446","504,117.57","307,239.19","196,878.38","39.1"
"MONMNT","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=MONMNT' target='_blank'>MONUMENT SIGNS</a>","685","4,430,123.74","2,699,993.35","1,730,130.39","39.1"
"PLFORM","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=PLFORM' target='_blank'>FORMED PLASTIC LETTERS</a>","66","111,738.26","68,237.01","43,501.25","38.9"
"PYLON","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=PYLON' target='_blank'>PYLON SIGNS</a>","1,905","25,740,672.41","16,022,864.69","9,717,807.72","37.8"
"INSTL","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=INSTL' target='_blank'>INSTALLATION</a>","2,461","3,218,082.41","2,009,637.44","1,208,444.97","37.6"
"GRAPHC","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=GRAPHC' target='_blank'>PRINTED GRAPHICS</a>","117","47,132.44","29,973.71","17,158.73","36.4"
"PLYWD","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=PLYWD' target='_blank'>MDO PLYWOOD SIGNS</a>","27","42,804.82","27,286.06","15,518.76","36.3"
"01","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=01' target='_blank'>DO NOT USE - SEE DROP DOWN</a>","86","222,681.58","142,053.62","80,627.96","36.2"
"ART","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=ART' target='_blank'>ARTWORK</a>","16","10,095.71","6,482.64","3,613.07","35.8"
"MISC","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=MISC' target='_blank'>MISCELLANEOUS SALE</a>","3,259","4,335,521.87","2,828,430.90","1,507,090.97","34.8"
"CHNG","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=CHNG' target='_blank'>CHANGEABLE COPY SIGNAGE</a>","25","23,041.88","15,329.74","7,712.14","33.5"
"OUTS","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=OUTS' target='_blank'>OUTSOURCING</a>","280","896,296.70","616,976.95","279,319.75","31.2"
"ELMSTT","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=ELMSTT' target='_blank'>ELECTRONIC SIGNS</a>","123","2,647,036.54","1,898,022.76","749,013.78","28.3"
"NEON","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=NEON' target='_blank'>NEON SIGNAGE</a>","140","88,034.86","65,228.11","22,806.75","25.9"
"SURVEY","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=SURVEY' target='_blank'>SURVEY</a>","821","193,006.07","146,311.53","46,694.54","24.2"
"SRVCE","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=SRVCE' target='_blank'>SERVICE</a>","7,021","2,621,787.35","2,001,443.22","620,344.13","23.7"
"WARART","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=WARART' target='_blank'>WARRANTY - ART</a>","7","0.00","2,363.49","(2,363.49)","0.0"
"WARFRA","<a href='?locale=en_US#action=ReportRun&reportId=1441870&launch=true&param.0=01/01/2006 - 7/18/25&param.2=WARFRA' target='_blank'>WARRANTY - FRANCHISE</a>","7","0.00","3,513.29","(3,513.29)","0.0"
