Eagle Sign Company,,,
STATUS AS OF 01/02/25,,,
,,,
Part Number,Inv Type,Part Description,UOM
,,,
******,BALLST,BALLASTS,
301-0185,BALLST,ADVANCE ISB 104014E,EA
301-0220,BALLST,175W METAL HALIDE MT BALLAST,EA
301-0240,BALLST,250W MH MULTI TAP BALLAST,EA
301-0245,BALLST,400W MH M59 MULTI TAP BALLAST,EA
301-0260,BALLST,400W METAL HALIDE MT BALLAST,EA
301-0290,BALLST,320 PULSE START BALLAST,EA
301-0330,BALLST,MH1000W MULTI TAP BALLAST,EA
301-1302,BALLST,KTSB-E-0416-12 Keystone Electronic Ballast,EA
301-1303,BALLST,KTSB-E-1232-24 Keystone Electronic Ballast,EA
301-1304,BALLST,KTSB-E-2048-46 Keystone Electronic Ballast,EA
,,,
******,ELECT,ELECTRICAL,
302-0100,ELECT,BX ARMOR CABLE #12/3,FT
302-0140,ELECT,HIGH VOLTAGE CABLE GTO,FT
302-0180,ELECT,BX CLAMP/ARMOR CABLE,EA
302-0186,ELECT,"3/4"" Cable Clamp",EA
302-0187,ELECT,Heyco Wavelock clip,EA
302-0231,ELECT,HEYCO 1029 mounting bracket,EA
302-0445,ELECT,"3/8"" ALUMINUM GREENFIELD CONDUIT",FT
302-0450,ELECT,"3/4"" ALUMINUM GREENFIELD CONDUIT",FT
302-0460,ELECT,"1/2"" ALUMINUM GREENFIELD CONDUIT 100 FT BUNDLE",FT
302-0570,ELECT,"1/2"" LIQUITITE CONDUIT",FT
302-0580,ELECT,"1/2"" LIQUITITE CONDUIT 100 FT BUNDLE",FT
302-0621,ELECT,"3/4"" Heyco 8452 black conduit",FT
302-1150,ELECT,3M STD CABLE TIES/NYLON,EA
303-0145,ELECT,2x4 bell box cover 5173-0 sg wp,EA
303-0150,ELECT,RACO 5320-0 1G WP BX W/3-1/2 HUBS,EA
303-0151,ELECT,RACO 5330-0 WP BX W/ 3/4 HUBS,EA
303-0180,ELECT,RACO 5128-0 SP 20A 277VAC SW&WP CVR,EA
303-0210,ELECT,RACO 660 1-7/8D HANDY BOX 1/2 KO,EA
303-0211,ELECT,"RACO 666 1 7/8"" deep handy box 3/4"" knockout",EA
303-0240,ELECT,RACO 860 BLANK HANDY BOX COVER,EA
303-0298,ELECT,"3/8"" Heyco Bushing",EA
303-0300,ELECT,"1/2"" PLASTIC BUSHING",EA
303-0303,ELECT,"5/8"" Heyco Bushing",EA
303-0313,ELECT,"7/8"" Heyco Bushing",EA
303-0581,ELECT,#10 eyelet - 60042 Ring Tongue,EA
303-0610,ELECT,"1/2"" GREENFIELD CONNECTOR BRDGPORT 520-DC2",EA
303-0611,ELECT,"3/4"" GREENFIELD CONNECTOR BRDGPORT 521-DC2",EA
303-0612,ELECT,HEYCO 8495 Snap In Connector,EA
303-0650,ELECT,"1/2"" LIQUITITE SEALTITE MALE CONNECTOR - STRAIGHT - RACO #3402",EA
303-0780,ELECT,"3/8"" ROMEX CONNECTOR (SQUEEZE)",EA
303-0960,ELECT,"1"" PVC COUPLING",EA
303-1030,ELECT,"1/2"" 90-DEG. GREENFIELD CONNECTOR BRDGPORT 804-DC2",EA
303-1090,ELECT,"1"" PVC 90-DEG. ELBOW",EA
303-1130,ELECT,"1/2"" 90-DEG. SEALTIGHT ELBOW",EA
303-1220,ELECT,"1/2"" LOCK NUT",EA
303-1240,ELECT,"1"" LOCK NUT",EA
303-1260,ELECT,"1-1/2"" LOCK NUT",EA
303-1280,ELECT,"1/2"" CHASE NIPPLE",EA
303-1330,ELECT,"1"" CHASE NIPPLE",EA
303-1355,ELECT,"1 1/2"" CHASE NIPPLE 1106-DC",EA
303-1435,ELECT,Paige Wall Busters,EA
307-0100,ELECT,18 GAUGE LED HOOK UP WIRE,FT
307-0101,ELECT,LED HOOK UP WIRE for RGB systems,FT
307-0121,ELECT,Hanley LED NRG Mini-PE-Mini 7000k 12v,EA
307-0134,ELECT,HanleyLED NRG Series IV - PE4/PN4,EA
307-0151,ELECT,H96W-SD-24V power supply,EA
307-0167,ELECT,Sloan 701507-MOD60277 Power Supply,EA
307-0170,ELECT,H192W-SD-24 power supply,EA
307-0241,ELECT,Agilight Pro215,EA
307-0247,ELECT,Principal Qwik Mod QM3,EA
307-0256,ELECT,SHLB-2S60 4500K Concord,EA
307-0257,ELECT,SHLB-2S36 4500K Concord,EA
307-0258,ELECT,HPEB-CC cable 6',EA
307-0259,ELECT,HPEB-CC cable 12,EA
307-0260,ELECT,Hanley PF4180W,EA
307-0261,ELECT,PF3120 Phoenix LED,EA
307-0262,ELECT,PF3120 Red Phoenix LED,EA
307-0263,ELECT,PF2080 Phoenix LED,EA
307-0264,ELECT,H120W-PPS5 Hanley Power Supply,EA
307-0265,ELECT,H60W-SD-12 Hanley Power Supply,EA
307-0269,ELECT,"SHPEB-2S6045K NRG Bar 60"" 4500K",EA
307-0270,ELECT,"SHPEB-2S3645K NRG Bar 36"" 4500K",EA
307-0271,ELECT,PF2080 Red Phoenix LED,EA
307-0273,ELECT,"SHPEB-2S9645K NRG Bar 96"" 4500K",EA
307-0274,ELECT,"SHPEB-2S12045K NRG Bar 120"" 4500K",EA
307-2530,ELECT,LED Corn 120W,EA
310-0150,ELECT,K1121 PHOTO CELL,EA
310-0350,ELECT,T101 TIME CLOCK,EA
311-0840,ELECT,530.1 SPRINGLOADED SOCKETS,EA
311-0841,ELECT,530.2 STATIONERY SOCKETS,EA
311-0860,ELECT,582-583 SNAP IN SOCKETS - 250/BOX,EA
311-0862,ELECT,HPEB-MB NRG Bar Mounting Bracket,EA
311-0980,ELECT,WEATHER PROTECTIVE COVERS #S2983 FOR TOGGLE SWITCH,EA
311-1050,ELECT,TOGGLE SWITCH W/LEADS,EA
313-0310,ELECT,#10 STRANDED WIRE,FT
313-0330,ELECT,#12 RED 600V STRANDED WIRE,FT
313-0331,ELECT,#12 WHITE 600V STRANDED WIRE,FT
313-0332,ELECT,#12 BLACK 600V STRANDED WIRE,FT
313-0333,ELECT,#12 GREEN 1000V STRANDED WIRE MTW,FT
313-0334,ELECT,#12 WHITE UL 1000V STRANDED WIRE MTW,FT
313-0335,ELECT,#12 BLACK UL 1000V STRANDED WIRE MTW,FT
313-0336,ELECT,#12 GREEN UL 1000V STRANDED WIRE MTW,FT
313-0337,ELECT,#12 AWC 15-12-65T-2 Red 12AWG UL 1000V MTW ,LF
313-0360,ELECT,#14 STRANDED WIRE,FT
313-0380,ELECT,30-072 BLUE WIRE NUT,EA
313-0420,ELECT,30-452 RED WIRE NUTS,EA
313-0440,ELECT,30-454 BLUE WIRE NUT,EA
313-0465,ELECT,WIRE NUTS O/B+,EA
313-0470,ELECT,30-451 YELLOW WIRE NUTS,EA
313-0475,ELECT,74B YELLOW 1000V UL WIRE NUT,EA
313-0476,ELECT,Wago 3 wire lever nuts,EA
313-0477,ELECT,Wago 5 wire lever nuts,EA
,,,
******,FADHES,ADHESIVES,
201-0100,FADHES,406/19 LORD PAK ADHESIVE,TUBE
201-0112,FADHES,Lord Adhesive 7550 (TRIM CAP),TUBE
201-0130,FADHES,3M ADHESIVE REMOVER #08984,OZ
201-0275,FADHES,LATEX WHITE CAULK ,TUBE
201-0285,FADHES,#3 WELD ON PLASTIC CEMENT,OZ
201-0290,FADHES,#16 WELD ON PLASTIC CEMENT ,OZ
201-0294,FADHES,#58 WELD ON PLASTIC CEMENT ,OZ
201-0340,FADHES,CLEAR SILICONE,TUBE
,,,
******,FALEXT,EXTRUSIONS,
202-0100,FALEXT,"3"" ALUMINUM GUSSETS",EA
202-0140,FALEXT,TYPE II BACK ADAPTER - 26',FT
202-0150,FALEXT,BLEED TRIM ABC Extr.- 26',FT
202-0185,FALEXT,"1-1/2"" CONVENTIONAL DIVIDER BAR - 26'",LF
202-0190,FALEXT,"1-3/4"" SMALL DIVIDER BAR - 26'",FT
202-0220,FALEXT,ABC FLEXIBLE FACE TENSIONERS - 500/BOX,EA
202-0250,FALEXT,TYPE IV END FRAME ABC- 26',FT
202-0270,FALEXT,"LARGE ""A"" BLEEDFRAME ABC- 26'",FT
202-0340,FALEXT,THRIF-T FRAME,FT
202-0350,FALEXT,"12"" CONVENTIONAL FRAME - 26'",FT
202-0360,FALEXT,TYPE I FRAME (10)- 26',FT
202-0370,FALEXT,TYPE II FRAME - 26',FT
202-0380,FALEXT,TYPE I WIDE FAB FRAME (EI) - 26',FT
202-0385,FALEXT,Type III End Frame - 26',FT
202-0387,FALEXT,Type III Unit Frame - 26',FT
202-0390,FALEXT,TYPE IV UNIT FRAME - 26',FT
202-0420,FALEXT,"1/8"" X 1/2"" X 50' GASKET TAPE ",FT
202-0425,FALEXT,"1/8"" X 1 1/2""  GASKET TAPE ",FT
202-0431,FALEXT,"LARGE ""A"" Z-BRACKET",EA
202-0500,FALEXT,"8"" ANGLE IRON BRACKETS - LAF IRONS",EA
202-0510,FALEXT,"LARGE ""A"" FLEXFRAME - 26'",FT
202-0530,FALEXT,"LARGE ""A"" BACK ADAPTER - 26'",FT
202-0540,FALEXT,C-COVER CORNER FLASHING - L/A SCABS,EA
202-0560,FALEXT,"LARGE ""A"" SPREADER BARS (Frame Support)",EA
202-0570,FALEXT,"LG ""A"" BLEEDFRAME COVER ABC 26'",FT
202-0580,FALEXT,"LARGE ""A"" C-COVER ABC- 26'",FT
202-0610,FALEXT,"2-1/2"" FLAT RETAINER ABC- 26'",FT
202-0620,FALEXT,TYPE III FLAT RETAINER ABC,FT
202-0680,FALEXT,2 TYPE I FLAT RETAINER - 26',LF
202-0690,FALEXT,2 LG E-Z RETAINER - 26',LF
202-0710,FALEXT,TYPE IV RETAINER - 26',LF
202-0820,FALEXT,"SMALL ""A"" FLEX COVER ABC- 26'",FT
202-0830,FALEXT,"SMALL ""A"" FLEX FRAME ABC- 26'",FT
202-0861,FALEXT,Post & Panel Retainer,EA
202-0864,FALEXT,"3 1/4"" half round post - 25' pieces",LF
202-0865,FALEXT,"5"" Half Round Post ABC part #1004-RDP",LF
202-0866,FALEXT,"1"" Reveal - Post & Panel ABC part #1040-R1",LF
202-0867,FALEXT,Post & Panel Mono Frame - 25' pieces,LF
202-0868,FALEXT,Post & Panel end frame - 25' pieces,LF
202-0920,FALEXT,LARGE BLEED TRIM ABC- 26',FT
202-0941,FALEXT,"1 3/8"" H-style Divider Bar",FT
202-1235,FALEXT,EXCELLART MC RETAINER - H STYLE,FT
202-1263,FALEXT,"LCB1970N narrow 5"" channel letter raceway and cover",FT
202-1265,FALEXT,"7"" EXCELLART CHANNEL LETTER RACEWAY - 1401015 24'6"" pieces.",FT
202-1266,FALEXT,"Excellart 7"" RACEWAY ENDCAP ",EA
202-1267,FALEXT,"Excellart 2"" mounting bracket",EA
202-1270,FALEXT,RACEWAY SPREADER BARS,EA
202-1295,FALEXT,"7"" EXCELLART CHANNEL LETTER RACEWAY COVER - 1401016 24'6"" pieces",FT
202-1320,FALEXT,"5"" X 7"" HAND HOLE COVER",EA
202-1330,FALEXT,"6"" X 7"" X .032"" HAND HOLE COVER",EA
202-1400,FALEXT,Large Channel Extrusion 10',FT
,,,
******,FALUM,ALUMINUM,
203-0110,FALUM,"1"" X 1"" X 3/16"" ALUM ANGLE - 25'",FT
203-0130,FALUM,"1-1/2"" X 1-1/2"" X 3/16"" ALUM ANGLE ",LF
203-0140,FALUM,"2"" X 2"" X 1/8"" ALUM ANGLE - 25'",FT
203-0150,FALUM,"2"" X 2"" X 3/16"" ALUM ANGLE - 25'",FT
203-0160,FALUM,"2"" X 2"" X 1/4"" ALUM ANGLE - 25'",FT
203-0310,FALUM,"1"" X 1"" X 1/8"" ALUM TUBE ",LF
203-0320,FALUM,"1-1/4"" X 1-1/4"" X 1/8"" ALUM TUBE  21'1""",FT
203-0330,FALUM,"1-1/2"" X 1-1/2"" X 1/8"" ALUM TUBE  21'1""",FT
203-0360,FALUM,"2"" X 2"" X 1/8"" ALUM TUBE ",LF
203-0365,FALUM,"2"" X 3"" X 1/8"" ALUMINUM TUBE - 21' 1""",FT
203-0375,FALUM,"2"" X 2"" X 1/4"" ALUMINUM TUBE - 25'",LF
203-0430,FALUM,"3"" X 3"" X 1/8"" ALUM TUBE",LF
203-0450,FALUM,"4"" X 4"" X 1/8"" ALUM TUBE - 21'-1""",FT
203-0495,FALUM,"1/4"" X 12"" ALUMINUM FLAT - 12'",FT
203-0500,FALUM,"1/4"" X 2"" ALUM FLAT ",LF
203-0510,FALUM,"1/4"" X 3"" ALUM FLAT ",LF
204-0141,FALUM,".090"" ALUM SHEET 5052",SF
204-0144,FALUM,.100 5052 aluminum no sheet size,SF
204-0155,FALUM,.125 ALUMINUM 5052,SF
204-0162,FALUM,".250"" ALUM SHEET 5052 -no sheet size-sq. ft.",SF
205-0111,FALUM,".040"" BLACK/WHITE ALUM VM ",SF
205-0113,FALUM,.040 Ivy Green/White aluminum,SF
205-0180,FALUM,".040"" WHITE/WHITE ALUMINUM ",SF
205-0201,FALUM,".050"" WHITE/MILL ALUM 5052 ",SF
205-0211,FALUM,".063"" WHITE/WHITE ALUM ",SF
205-0212,FALUM,".063"" Texaco Red/WHITE ALUM ",SF
205-0221,FALUM,".063"" MILL ALUMINUM 5052 ",SF
205-0253,FALUM,".080"" WHITE/WHITE 4x10 sheets",SF
205-0256,FALUM,".080"" ALUMINUM 5052",SF
206-0100,FALUM,3MM White/White Maxmetal Lite,SF
206-0110,FALUM,6MM white/white maxmetal 6mm,SF
206-0160,FALUM,3MM WHITE 1S D-LITE  - 4' X 8',SF
206-0221,FALUM,6MM WHITE 2S ALUMALITE - 4' X 10',SF
,,,
******,FAWN,AWNING,
202-1110,FAWN,AWNING TRIM CAP - MILLIKEN 350' per box,FT
202-1120,FAWN,"1"" X 1"" STANDARD WALL W/DBL 1"" FLANGES - 24'",FT
202-1130,FAWN,MI-6 AWNING Z CLIPS,EA
202-1140,FAWN,"MP1A 1"" X 1"" STD WALL STAPLE-IN - 24'",FT
202-1160,FAWN,"MP2B 1"" X 1"" STD. WALL/1FLNG STPLN",FT
202-1170,FAWN,GALVANIZED STAPLES,EA
,,,
******,FCHANG,CHANGEABLE COPY,
218-0160,FCHANG,"LETTER TRACK, BOTTOM - 8'",FT
218-0170,FCHANG,"LETTER TRACK, MUTUAL - 8'",FT
218-0180,FCHANG,"LETTER TRACK, TOP - 8'",FT
,,,
******,FCHANN,CHANNEL LETTER,
208-0101,FCHANN,"1"" BLACK JEWELITE TRIMCAP - 150'/RL",LF
208-0110,FCHANN,"2"" BLACK JEWELITE TRIMCAP - 10'",LF
208-0121,FCHANN,"1"" BLUE JEWELITE TRIMCAP - 150'",LF
208-0125,FCHANN,"1"" LIGHT BLUE JEWELITE TRIMCAP - 10'",FT
208-0130,FCHANN,"2"" BLUE JEWELITE TRIMCAP - 10'",LF
208-0141,FCHANN,"1"" BRONZE JEWELITE TRIMCAP - 150'/RL",LF
208-0185,FCHANN,"1"" CHROME JEWELITE TRIMCAP - 150'/RL",LF
208-0191,FCHANN,"1"" BRUSHED CHROME JEWELITE TRIMCAP - 150'/RL",LF
208-0231,FCHANN,"1"" GREEN JEWELITE TRIMCAP - 150'/RL",LF
208-0235,FCHANN,"1"" HUNTER GREEN #2162 GEMTRIM TRIMCAP - 150'/RL",LF
208-0251,FCHANN,"1"" IVORY JEWELITE TRIMCAP - 150'/RL",LF
208-0261,FCHANN,"1"" ORANGE JEWELITE TRIMCAP - 150'/RL",LF
