Part Number,Short Description,Inventory Type,Inventory UOM,Purchase UOM,On Hand,Unit Cost,List Price,Accounting Cost,User 1 Cost,User 2 Cost,Last Actual Cost,Average Cost
201-0100,406/19 LORD PAK ADHESIVE,FADHES,TUBE,TUBE,-1,74.07,129.6225,74.07,26.435,0,74.07,74.07
201-0112,Lord Adhesive 7550,FADHES,TUBE,TUBE,2,29.85,52.2375,29.85,12.2,0,29.85,22.24
201-0130,3M ADHESIVE REMOVER #08984,FADHES,OZ,QT,45,0.47594,0.8329,0.4759,0.26,0,0.4759,0.2746
201-0170,BROWN CAULKING,FADHES,TUBE,TUBE,-2,2.47,4.32,2.47,2.47,0,0,0
201-0180,NP-I DARK BRONZE CAULKING,FADHES,TUBE,TUBE,-40,3.3275,5.82,3.3275,3.3275,0,0,0
201-0190,GRAY CAULKING,FADHES,TUBE,TUBE,-40,3.5933,6.45,3.5933,3.5933,0,0,0
201-0275,40 YR SILICONE ACRYLIC LATEX WHITE CAULK ,FADHES,TUBE,TUBE,36,1.5624,2.7342,1.5624,1.39,0,3.1012,3.3036
201-0280,25 YR WHITE CAULKING,FADHES,TUBE,TUBE,-1,2.2388,9.34,2.2388,2.2388,0,1.2928,1.9191
201-0285,#3 WELD ON PLASTIC CEMENT,FADHES,OZ,GL,512,0.96234,1.6841,0.9623,0.27,0,0.6185,0.9228
201-0290,#16 WELD ON PLASTIC CEMENT ,FADHES,OZ,GL,212,0.70492,1.23361,0.7049,2.5125,0,0.7312,0.7049
201-0294,#58 WELD ON PLASTIC CEMENT ,FADHES,OZ,OZ,-8,0.70492,1.2336,0.7049,0,0,0,0
201-0330,SCS1001 GE CLEAR SILICONE,FADHES,TUBE,TUBE,27,2.9808,8.22,2.9808,2.9808,0,8.6456,18.0389
201-0340,81911 CLEAR SILICONE,FADHES,TUBE,TUBE,-90,3.7983,8.66,3.7983,3.7983,0,9.6086,9.6083
202-0100,"3"" ALUMINUM GUSSETS",FALEXT,EA,EA,12,2.0679,3.61883,2.0679,1.4,0,0.8839,0
202-0140,TYPE II BACK ADAPTER - 26',FALEXT,FT,PC,76,0.69,1.3125,0.69,0.69,0,1.09,0.69
202-0150,BLEED TRIM ABC Extr.- 26',FALEXT,FT,PC,-28,1.04,2.03,1.04,0.65,0,1.9231,1.04
202-0160,ABC CONE CUPS,FALEXT,EA,EA,-6,1.4,2.45,1.4,1.4,0,0,0
202-0185,"1-1/2"" CONVENTIONAL DIVIDER BAR - 26'",FALEXT,LF,PC,167,2.26,3.955,2.26,0,0,2.09,2.2482
202-0190,"1-3/4"" SMALL DIVIDER BAR - 26'",FALEXT,FT,PC,222,2.81,4.9175,2.81,2.36,0,4.6826,2.6608
202-0220,ABC FLEXIBLE FACE TENSIONERS - 500/BOX,FALEXT,EA,BX,3134,0.991,1.925,0.991,0.75,0,0.9117,1.0135
202-0250,TYPE IV END FRAME ABC- 26',FALEXT,FT,PC,116,2.31,4.445,2.31,1.97,0,2.52,2.31
202-0270,"LARGE ""A"" BLEEDFRAME ABC- 26'",FALEXT,FT,PC,26,11.7,22.7675,11.7,8.17,0,11.79,11.7
202-0340,THRIF-T FRAME,FALEXT,FT,PC,276,5.15,9.0125,5.15,3.31,0,4.86,4.4247
