Part Number,Short Description,Inventory Type,Inventory UOM,Purchase UOM,Qty On Hand,Unit Cost,List Price,Accounting Cost,User 1 Cost,User 2 Cost,Last Actual Cost,Average Cost
201-0100,406/19 LORD PAK ADHESIVE,FADHES,TUBE,TUBE,-1,74.07,129.6225,74.07,26.435,0,74.07,74.07
201-0110,7542A/B 50ML SM LORD PACK ADH.,FADHES,TUBE,TUBE,0,8.3625,14.45,8.3625,8.3625,0,0,0
201-0112,Lord Adhesive 7550,FADHES,TUBE,TUBE,2,29.85,52.2375,29.85,12.2,0,29.85,22.24
201-0120,EPOXY FOR HILTI/ANCHOR ADH,FADHES,TUBE,TUBE,0,22.8283,42.77,22.8283,22.8283,0,0,0
201-0130,3M ADHESIVE REMOVER #08984,FADHES,OZ,QT,45,0.47594,0.8329,0.4759,0.26,0,0.4759,0.2746
201-0140,SPRAY ADHESIVE,FADHES,CAN,CAN,0,12.73,22.18,12.73,12.73,0,6.9336,6.3528
201-0150,BLACK CAULKING,FADHES,TUBE,TUBE,0,4.4,9.48,4.4,5.4158,0,4.4,5.415
201-0160,BRONZE CAULK,FADHES,TUBE,TUBE,0,3.6767,6.43,3.6767,3.6767,0,0,0
201-0170,BROWN CAULKING,FADHES,TUBE,TUBE,-2,2.47,4.32,2.47,2.47,0,0,0
201-0180,NP-I DARK BRONZE CAULKING,FADHES,TUBE,TUBE,-40,3.3275,5.82,3.3275,3.3275,0,0,0
201-0190,GRAY CAULKING,FADHES,TUBE,TUBE,-40,3.5933,6.45,3.5933,3.5933,0,0,0
201-0200,LIMESTONE CAULKING NP-1,FADHES,TUBE,TUBE,0,3.2533,5.69,3.2533,3.2533,0,0,0
201-0210,MASONRY CAULKING NP-1,FADHES,TUBE,TUBE,0,4.69,8.21,4.69,4.69,0,0,0
201-0220,CANDY APPLE RED CAULK,FADHES,TUBE,TUBE,0,7.315,12.19,7.315,7.315,0,0,0
201-0230,REDWOOD CAULKING NP-1,FADHES,TUBE,TUBE,0,4.665,8.16,4.665,4.665,0,0,0
201-0240,SILVER CAULK METALLIC,FADHES,TUBE,TUBE,0,7.4692,12.04,7.4692,7.4692,0,0,0
201-0250,DARK TAN CAULKING,FADHES,TUBE,TUBE,0,3.17,5.55,3.17,3.17,0,0,0
201-0260,WHITE BUTYL CAULK,FADHES,TUBE,TUBE,0,1.275,2.49,1.275,1.275,0,0,0
