6-Nov-25,16:27:34,,,GROSS MARGIN BY SALESPERSON,,,,,,,,,
,,,,PERIOD: 11/01/05 through 10/31/25,,,,,,,,,
,,,,,,,,,,,,,
Invoice No,Inv Date,Prod Code,Cust No,Customer Name,Gross Sales,Total Cost,Gross Margin,GM %,Extra Charge,Location No,Location Name,City,State
,,,,,,,,,,,,,
1910,8/25/2008,01,77950,NAGLE SIGNS  INC.,665,642.76,22.24,3.34,,DEFAULT,"NAGLE SIGNS, INC.",Waterloo,IA
1910,8/25/2008,01,77950,NAGLE SIGNS  INC.,545,492.52,52.48,9.63,,DEFAULT,"NAGLE SIGNS, INC.",Waterloo,IA
3063,9/23/2010,01,77950,NAGLE SIGNS  INC.,58.74,46.99,11.75,20,,DEFAULT,"NAGLE SIGNS, INC.",Waterloo,IA
3287,2/7/2011,01,77950,NAGLE SIGNS  INC.,458.25,552.72,-94.47,-20.62,,DEFAULT,"NAGLE SIGNS, INC.",Waterloo,IA
9874,8/27/2020,01,3302,RON FULLER,35,0,35,100,,DEFAULT,RON FULLER,DES MOINES,IA
9911-2,4/16/2021,01,3938,FERRARA CANDY COMPANY,135,0,135,100,,DEFAULT,FERRARA CANDY COMPANY,CRESTON,IA
SC1724,8/21/2009,01,2599,GENERAL CONSTRUCTION SERVICES  INC.,0,65.1,-65.1,,,1,PRETZELMAKER,WEST DES MOINES,IA
SC8452,9/23/2025,01,77950,NAGLE SIGNS  INC.,418.7,355.88,62.82,15,,206,TOBACCO OUTLET -PLUS,URBANDALE,IA
,,01,,Product Totals,2315.69,2155.97,159.72,6.9,0,,,,
,,,,,,,,,,,,,
11722,2/25/2024,ALUM,3016,NW TRAILER,160,94.16,65.84,41.15,,DEFAULT,NEW WORLD TRAILER,ADEL,IA
1528,1/30/2008,ALUM,52800,HEART OF AMERICA RESTAURANTS &,1094,263.08,830.92,75.95,,DEFAULT,Holiday Inn & Suites / Johnny´s Italian Steakhouse,West Des Moines,IA
1528,1/30/2008,ALUM,52800,HEART OF AMERICA RESTAURANTS &,665,143.2,521.8,78.47,,DEFAULT,Holiday Inn & Suites / Johnny´s Italian Steakhouse,West Des Moines,IA
1528,1/30/2008,ALUM,52800,HEART OF AMERICA RESTAURANTS &,2188,596.97,1591.03,72.72,,DEFAULT,Holiday Inn & Suites / Johnny´s Italian Steakhouse,West Des Moines,IA
1528,1/30/2008,ALUM,52800,HEART OF AMERICA RESTAURANTS &,1330,296.18,1033.82,77.73,,DEFAULT,Holiday Inn & Suites / Johnny´s Italian Steakhouse,West Des Moines,IA
3131,10/28/2010,ALUM,2906,AMERICAN MARKING,90.4,44.8,45.6,50.44,,DEFAULT,AMERICAN MARKING,DES MOINES,IA
3771,10/17/2011,ALUM,2906,AMERICAN MARKING,29.4,16.8,12.6,42.86,,DEFAULT,AMERICAN MARKING,DES MOINES,IA
6261,12/12/2014,ALUM,2906,AMERICAN MARKING,41.95,24.09,17.86,42.57,,DEFAULT,AMERICAN MARKING,DES MOINES,IA
6680,6/26/2015,ALUM,2906,AMERICAN MARKING,37.96,21.69,16.27,42.86,,DEFAULT,AMERICAN MARKING,DES MOINES,IA
9777,6/3/2020,ALUM,5672,RANDY MC CROSKEY,131.2,131.2,0,0,,DEFAULT,RANDY MC CROSKEY,GRIMES,IA
,,ALUM,,Product Totals,5767.91,1632.17,4135.74,71.7,0,,,,
,,,,,,,,,,,,,
2697,5/10/2010,AWNING,77950,NAGLE SIGNS  INC.,120,0,120,100,,DEFAULT,"NAGLE SIGNS, INC.",Waterloo,IA
5613,5/14/2014,AWNING,4087,KURT KORTE,337,170.25,166.75,49.48,,DEFAULT,KURT KORTE,WEST DES MOINES,IA
,,AWNING,,Product Totals,457,170.25,286.75,62.75,0,,,,
,,,,,,,,,,,,,
11809,4/17/2024,BANNER,6237,CORINA KEELING,0,86,-86,,,DEFAULT,CORINA KEELING,NORWALK,IA
11810,4/30/2024,BANNER,6238,CHAD NELSON,35,33,2,5.71,,DEFAULT,CHAD NELSON,WEST DES MOINES,IA
12364,4/16/2025,BANNER,6238,CHAD NELSON,17.5,17.5,0,0,,DEFAULT,CHAD NELSON,WEST DES MOINES,IA
12410,5/16/2025,BANNER,6237,CORINA KEELING,0,53,-53,,,DEFAULT,CORINA KEELING,NORWALK,IA
4797,4/24/2013,BANNER,38050,EAGLE SIGN CO.,0,76.5,-76.5,,,DEFAULT,EAGLE SIGN CO.,DES MOINES,IA
5120,10/31/2013,BANNER,2209,HUBBELL REALTY,0,81.95,-81.95,,,DEFAULT,HUBBELL REALTY,WEST DES MOINES,IA
5120,10/31/2013,BANNER,2209,HUBBELL REALTY,0,59.29,-59.29,,,DEFAULT,HUBBELL REALTY,WEST DES MOINES,IA
5120,10/31/2013,BANNER,2209,HUBBELL REALTY,0,42.85,-42.85,,,DEFAULT,HUBBELL REALTY,WEST DES MOINES,IA
5120,10/31/2013,BANNER,2209,HUBBELL REALTY,0,33.9,-33.9,,,DEFAULT,HUBBELL REALTY,WEST DES MOINES,IA
7463,6/24/2016,BANNER,4779,EAGLE SIGN CO.,0,161.69,-161.69,,,DEFAULT,EAGLE SIGN CO.,GRIMES,IA
8715,7/5/2018,BANNER,3127,JAMES AUTHUR ALBERT FOUNDATION,0,61.03,-61.03,,,DEFAULT,JAMES AUTHUR ALBERT FOUNDATION,URBANDALE,IA
9160,4/29/2019,BANNER,5490,ICARE,902.55,528.83,373.72,41.41,-396.14,DEFAULT,ICARE,URBANDALE,IA
,,BANNER,,Product Totals,955.05,1235.54,-280.49,-29.37,-396.14,,,,
,,,,,,,,,,,,,
1527-1,2/29/2008,BLDG,8800,BALL CONSTRUCTION SERVICES,28000,0,28000,100,,DEFAULT,BALL CONSTRUCTION SERVICES,West Des Moines,IA
1527CR,2/29/2008,BLDG,8800,BALL CONSTRUCTION SERVICES,-28000,0,-28000,100,,DEFAULT,BALL CONSTRUCTION SERVICES,West Des Moines,IA
4036,10/11/2012,BLDG,49300,GIT N GO CONVENIENCE STORES,21370.37,10868.47,10501.9,49.14,268,22,GIT N GO #19,DES MOINES,IA
7325,5/17/2016,BLDG,91400,R+L CARRIERS  INC.,910,910,0,0,,DEFAULT,"R+L CARRIERS, INC.",Wilmington,OH
7433-2,12/31/2016,BLDG,38050,EAGLE SIGN CO.,0,2516.5,-2516.5,,,DEFAULT,EAGLE SIGN CO.,DES MOINES,IA
9366,10/8/2019,BLDG,5542,UNISHIPPERS,2604,1302,1302,50,,DEFAULT,INTERNATIONAL AGRI-CENTER,Tulare,CA
,,BLDG,,Product Totals,24884.37,15596.97,9287.4,37.32,268,,,,
,,,,,,,,,,,,,
5847,7/14/2014,CHANNL,3244,NEON SPECIALTIES,15.4,8.8,6.6,42.86,,DEFAULT,NEON SPECIALTIES,DES MOINES,IA
6784,8/14/2015,CHANNL,3244,NEON SPECIALTIES,20.09,11.48,8.61,42.86,,DEFAULT,NEON SPECIALTIES,DES MOINES,IA
,,CHANNL,,Product Totals,35.49,20.28,15.21,42.86,0,,,,
,,,,,,,,,,,,,
2090,12/8/2008,INSTL,49300,GIT N GO CONVENIENCE STORES,1687.5,0,1687.5,100,,DEFAULT,"GIT N GO CONVENIENCE STORES,",Des Moines,IA
2639,1/13/2010,INSTL,77950,NAGLE SIGNS  INC.,350,279.3,70.7,20.2,,DEFAULT,Kum & Go,Des Moines,IA
3140,11/11/2010,INSTL,77950,NAGLE SIGNS  INC.,200,285.2,-85.2,-42.6,,DEFAULT,Sherwin-Williams #3124,West Des Moines,IA
3659,9/15/2011,INSTL,77950,NAGLE SIGNS  INC.,1854.19,1276.39,577.8,31.16,,14,CASEY'S GENERAL STORES,SAINT CHARLES,IA
3660,8/31/2011,INSTL,77950,NAGLE SIGNS  INC.,1830,1199.82,630.18,34.44,,15,CASEY'S GENERAL STORE,CENTERVILLE,IA
3857,11/23/2011,INSTL,3284,ARCHETYPE SIGNMAKES,130,0,130,100,,DEFAULT,ARCHETYPE SIGNMAKES,EAGAN,MN
7060,12/10/2015,INSTL,3962,SALVATION ARMY,0,0,0,,,2,SALVATION ARMY,DES MOINES,IA
8093,6/23/2017,INSTL,4129,A-D DISTRIBUTING CO.,0,0,0,,,39,"IOWA DEPT. OF TRANSPORTATION - A-D DISTRIBUTING CO., INC.",ANKENY,IA
SC1409,7/24/2008,INSTL,77950,NAGLE SIGNS  INC.,532,447.66,84.34,15.85,,DEFAULT,Kum & Go,Des Moines,IA
SC7575,5/9/2023,INSTL,77950,NAGLE SIGNS  INC.,140,128.71,11.29,8.06,,437,IOWA VALLEY COMMUNITY COLLEGE CAMPUS - NAGLE SGINS,MARSHALLTOWN,IA
,,INSTL,,Product Totals,6723.69,3617.08,3106.61,46.2,0,,,,
,,,,,,,,,,,,,
6302,1/28/2015,INT,4358,NICK HOVE,109.82,54.91,54.91,50,,DEFAULT,NICK HOVE,BAGLEY,IA
,,INT,,Product Totals,109.82,54.91,54.91,50,0,,,,
,,,,,,,,,,,,,
12431,6/3/2025,LIFTS,69050,LOZIER HEATING & COOLING,187.5,105.75,81.75,43.6,,2,TRIZIA-LOZIER,DES MOINES,IA
12440,6/11/2025,LIFTS,69050,LOZIER HEATING & COOLING,250,141.13,108.87,43.55,,3,BONNIE´S BARRICADES-LOZIER,DES MOINES,IA
6422,3/5/2015,LIFTS,4058,RESOURCE SERVICES,165,140.51,24.49,14.84,,3,SPARTAN STAFFING,DES MOINES,IA
SC3146,9/13/2013,LIFTS,2625,MID-IOWA SERVICE CO. INC.,110,0,110,100,,DEFAULT,MID-IOWA SERVICE CO. INC.,ALTOONA,IA
,,LIFTS,,Product Totals,712.5,387.39,325.11,45.63,0,,,,
,,,,,,,,,,,,,
10013,1/13/2021,MISC,4725,KEMIN INDUSTRIES,0,49.43,-49.43,,,5,KEMIN INDUSTRIES,DES MOINES,IA
10418,8/27/2021,MISC,3454,MIKE REIS,100,100,0,0,,DEFAULT,MIKE REIS,DES MOINES,IA
10420,11/23/2021,MISC,3454,MIKE REIS,80,80,0,0,,DEFAULT,MIKE REIS,DES MOINES,IA
