"06 NOV 2025","16:26:52","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 11/01/17 through 10/31/18",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"8715","07/05/18","BANNER","3127","JAMES AUTHUR ALBERT FOUNDATION","0.00","61.03","-61.03","","","","","","","","","DEFAULT","JAMES AUTHUR ALBERT FOUNDATION","URBANDALE","IA",
"","","BANNER","","Product Totals","0.00","61.03","-61.03","","0.00","",

"8361","11/08/17","MISC","5191","JERRY SCOTT","115.00","56.25","58.75","51.09","","","","","","","","DEFAULT","JERRY SCOTT","NEWTOWN","MO",
"8530","02/21/18","MISC","2906","AMERICAN MARKING","36.75","22.20","14.55","39.59","","","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"","","MISC","","Product Totals","151.75","78.45","73.30","48.30","0.00","",

"SC5241","03/19/18","SRVCE","84700","DAVE FEGLEY","0.00","177.69","-177.69","","","","","","","","","DEFAULT","PARK AVE CAR WASH","Des Moines","IA",
"SC5258","03/19/18","SRVCE","3205","STRATUS","348.70","234.90","113.80","32.64","","","","","","","","4","BARNES AND NOBLE #2921 - MC SIGN","WEST DES MOINES","IA",
"SC5403","06/21/18","SRVCE","119350","IOWA EVENT CENTER / SPECTRA VENU MANAGEMENT","0.00","62.23","-62.23","","","","","","","","","DEFAULT","VETERANS MEMORIAL AUDITORIUM","Des Moines","IA",
"SC5457","08/13/18","SRVCE","5320","CITY OF DES MOINES REAL ESTATE DIVISION","0.00","122.98","-122.98","","","","","","","","","2","PARK WINDS APARTMENTS","DES MOINES","IA",
"","","SRVCE","","Product Totals","348.70","597.80","-249.10","-71.44","0.00","",

"","","","","Salesperson  Totals","500.45","737.28","-236.83","-47.32","0.00","",

"8677","06/18/18","DRCT","5307","LASIK VISION INSTITUTE","163.86","202.83","-38.97","-23.78","","ADAM","0.030","","","","","DEFAULT","LASIK VISION INSTITUTE","WEST DES MOINES","IA",
"","","DRCT","","Product Totals","163.86","202.83","-38.97","-23.78","0.00","ADAM",

"8329","11/04/17","INSTL","4958","PRIDE SIGNS","1116.10","596.88","519.22","46.52","103.00","ADAM","0.030","","","","","2","PLANET FITNESS- PRIDE SIGNS","ANKENY","IA",
"8329","11/04/17","INSTL","4958","PRIDE SIGNS","177.32","0.00","177.32","100.00","","ADAM","0.030","","","","","2","PLANET FITNESS- PRIDE SIGNS","ANKENY","IA",
"8575","03/23/18","INSTL","4910","PREMIER TECH SOLUTIONS","773.71","107.54","666.17","86.10","","ADAM","0.030","","","","","DEFAULT","PREMIER TECH SOLUTIONS","PANORA","IA",
"8620","05/09/18","INSTL","4958","PRIDE SIGNS","627.29","75.08","552.21","88.03","","ADAM","0.030","","","","","2","PLANET FITNESS- PRIDE SIGNS","ANKENY","IA",
"8620","05/09/18","INSTL","4958","PRIDE SIGNS","1371.72","623.30","748.42","54.56","","ADAM","0.030","","","","","2","PLANET FITNESS- PRIDE SIGNS","ANKENY","IA",
"8620","05/09/18","INSTL","4958","PRIDE SIGNS","1038.13","575.58","462.55","44.56","","ADAM","0.030","","","","","2","PLANET FITNESS- PRIDE SIGNS","ANKENY","IA",
"8620","05/09/18","INSTL","4958","PRIDE SIGNS","531.54","0.00","531.54","100.00","","ADAM","0.030","","","","","2","PLANET FITNESS- PRIDE SIGNS","ANKENY","IA",
"","","INSTL","","Product Totals","5635.81","1978.38","3657.43","64.90","103.00","ADAM",

"8557","03/06/18","PRMT","4958","PRIDE SIGNS","0.00","0.00","0.00","","311.00","ADAM","0.030","","","","","2","PLANET FITNESS- PRIDE SIGNS","ANKENY","IA",
"","","PRMT","","Product Totals","0.00","0.00","0.00","","311.00","ADAM",

"","","","","Salesperson ADAM Totals","5799.67","2181.21","3618.46","62.39","414.00","ADAM",

"8335","12/16/17","AWNING","77950","NAGLE SIGNS  INC.","15615.96","11667.14","3948.82","25.29","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"","","AWNING","","Product Totals","15615.96","11667.14","3948.82","25.29","0.00","HOUSE",

"8640","04/30/18","CHANNL","77950","NAGLE SIGNS  INC.","919.63","647.39","272.24","29.60","","HOUSE","","","","","","182","PANCHEROS MEXICAN GRILL- NAGLE SIGNS","ANKNEY","IA",
"","","CHANNL","","Product Totals","919.63","647.39","272.24","29.60","0.00","HOUSE",

"8480","01/19/18","INSTL","77950","NAGLE SIGNS  INC.","180.00","145.86","34.14","18.97","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8495","03/07/18","INSTL","77950","NAGLE SIGNS  INC.","600.00","478.81","121.19","20.20","","HOUSE","","","","","","173","POLK CITY COMMUNITY-LIBRARY - NAGLE SIGNS","POLK CITY","IA",
"8498","01/31/18","INSTL","77950","NAGLE SIGNS  INC.","0.00","0.00","0.00","","","HOUSE","","","","","","174","TACO JOHN´S - NAGLE SIGNS","GRIMES","IA",
"8647","05/31/18","INSTL","77950","NAGLE SIGNS  INC.","135.00","108.64","26.36","19.53","","HOUSE","","","","","","183","WINTERSET COMMUNITY HIGH SCHOOL - NAGLE SIGNS","WINTERSET","IA",
"8647","05/31/18","INSTL","77950","NAGLE SIGNS  INC.","90.00","71.91","18.09","20.10","","HOUSE","","","","","","183","WINTERSET COMMUNITY HIGH SCHOOL - NAGLE SIGNS","WINTERSET","IA",
"8831","08/31/18","INSTL","77950","NAGLE SIGNS  INC.","315.00","270.27","44.73","14.20","","HOUSE","","","","","","188","JETHRO'S","AMES","IA",
"","","INSTL","","Product Totals","1320.00","1075.49","244.51","18.52","0.00","HOUSE",

"8356","11/03/17","MISC","5188","DENNIS DHAININ","431.19","0.00","431.19","100.00","","HOUSE","","","","","","DEFAULT","DENNIS DHAININ","URBANDALE","IA",
"8375","11/22/17","MISC","77950","NAGLE SIGNS  INC.","7.35","5.88","1.47","20.00","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8393","11/29/17","MISC","77950","NAGLE SIGNS  INC.","69.65","63.09","6.56","9.42","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8403","12/16/17","MISC","77950","NAGLE SIGNS  INC.","2454.96","1762.17","692.79","28.22","","HOUSE","","","","","","12","NAGLE SIGNS, INC.","MARSHALLTOWN","IA",
"8408","12/01/17","MISC","77950","NAGLE SIGNS  INC.","270.00","186.65","83.35","30.87","","HOUSE","","","","","","120","KUM & GO- NAGLE SIGNS","WAUKEE","IA",
"8426","12/15/17","MISC","2906","AMERICAN MARKING","67.11","37.12","29.99","44.69","","HOUSE","","","","","","DEFAULT","AMERICAN MARKING","DES MOINES","IA",
"8427","12/28/17","MISC","95950","NATIONAL CARWASH SOLUTIONS","1279.28","768.59","510.69","39.92","","HOUSE","","","","","","DEFAULT","RYKO MANUFACTURING","GRIMES","IA",
"8427-2","01/08/18","MISC","95950","NATIONAL CARWASH SOLUTIONS","1279.28","890.76","388.52","30.37","","HOUSE","","","","","","DEFAULT","RYKO MANUFACTURING","GRIMES","IA",
"8430","12/27/17","MISC","5198","TASTY TACO'S","1042.27","453.65","588.62","56.47","","HOUSE","","","","","","DEFAULT","TASTY TACO'S","ANKENY","IA",
"8442","12/22/17","MISC","77950","NAGLE SIGNS  INC.","187.08","84.72","102.36","54.71","","HOUSE","","","","","","163","KUM & GO - NAGLE SIGNS","WAUKEE","IA",
"8462","12/30/17","MISC","77950","NAGLE SIGNS  INC.","35.65","26.39","9.26","25.97","","HOUSE","","","","","","91","KUM & GO # 165","ANKENY","IA",
"8466","04/03/18","MISC","4779","EAGLE SIGN CO.","0.00","441.56","-441.56","","","HOUSE","","","","","","DEFAULT","EAGLE SIGN CO.","GRIMES","IA",
"8467","01/05/18","MISC","77950","NAGLE SIGNS  INC.","702.00","623.09","78.91","11.24","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8467","01/05/18","MISC","77950","NAGLE SIGNS  INC.","109.20","91.52","17.68","16.19","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8467","01/05/18","MISC","77950","NAGLE SIGNS  INC.","778.58","622.86","155.72","20.00","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8488","01/18/18","MISC","77950","NAGLE SIGNS  INC.","2.21","1.77","0.44","19.91","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8491","02/16/18","MISC","95950","NATIONAL CARWASH SOLUTIONS","1279.28","887.67","391.61","30.61","","HOUSE","","","","","","DEFAULT","RYKO MANUFACTURING","GRIMES","IA",
"8515","02/19/18","MISC","77950","NAGLE SIGNS  INC.","387.50","317.97","69.53","17.94","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8527","02/16/18","MISC","77950","NAGLE SIGNS  INC.","51.31","35.15","16.16","31.49","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8528","03/17/18","MISC","95950","NATIONAL CARWASH SOLUTIONS","1279.28","753.78","525.50","41.08","","HOUSE","","","","","","DEFAULT","RYKO MANUFACTURING","GRIMES","IA",
"8551","04/17/18","MISC","95950","NATIONAL CARWASH SOLUTIONS","6396.40","3533.94","2862.46","44.75","","HOUSE","","","","","","DEFAULT","RYKO MANUFACTURING","GRIMES","IA",
"8558","03/21/18","MISC","77950","NAGLE SIGNS  INC.","51.82","41.84","9.98","19.26","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8559","03/30/18","MISC","77950","NAGLE SIGNS  INC.","170.04","124.57","45.47","26.74","","HOUSE","","","","","","DEFAULT","NAGLE SIGNS, INC.","Waterloo","IA",
"8562","03/30/18","MISC","77950","NAGLE SIGNS  INC.","1176.88","874.70","302.18","25.68","","HOUSE","","","","","","165","CITY LAUNDRY - NAGLE SIGNS","OELWEIN","IA",
"8583","03/30/18","MISC","106000","SUPER WASH","17.60","281.30","-263.70","-1498.30","153.23","HOUSE","","","","","","DEFAULT","SUPER WASH","MORRISON","IL",
"8583","03/30/18","MISC","106000","SUPER WASH","16.00","51.52","-35.52","-222.00","","HOUSE","","","","","","DEFAULT","SUPER WASH","MORRISON","IL",
"8583","03/30/18","MISC","106000","SUPER WASH","75.60","0.00","75.60","100.00","","HOUSE","","","","","","DEFAULT","SUPER WASH","MORRISON","IL",
"8592","04/03/18","MISC","4129","A-D DISTRIBUTING CO.","137.50","64.35","73.15","53.20","","HOUSE","","","","","","51","THE PRINTER INC.- A-D DISTRIBUTING","DES MOINES","IA",
