"06 NOV 2025","16:24:54","","","GROSS MARGIN BY SALESPERSON",
"","","","","PERIOD: 11/01/21 through 10/31/22",

"Invoice No","Inv Date","Prod Code","Cust No","Customer Name","Gross Sales","Total Cost","Gross Margin","GM %","Extra Charge","Salesperson #1","Comm Rate #1","Salesperson #2","Comm Rate #2","Salesperson #3","Comm Rate #3","Location No","Location Name","City","State",

"10420","11/23/21","MISC","3454","MIKE REIS","80.00","80.00","0.00","0.00","","","","","","","","DEFAULT","MIKE REIS","DES MOINES","IA",
"10554","02/01/22","MISC","2141","PRIDE NEON  INC.","0.00","0.00","0.00","","","","","","","","","DEFAULT","PRIDE NEON, INC.","SIOUX FALLS","SD",
"10554","02/01/22","MISC","2141","PRIDE NEON  INC.","0.00","15.81","-15.81","","","","","","","","","DEFAULT","PRIDE NEON, INC.","SIOUX FALLS","SD",
"10554","02/01/22","MISC","2141","PRIDE NEON  INC.","0.00","0.00","0.00","","","","","","","","","DEFAULT","PRIDE NEON, INC.","SIOUX FALLS","SD",
"10569-1","01/04/22","MISC","114250","THOMPSON FARM","103.70","94.27","9.43","9.09","","","","","","","","DEFAULT","THOMPSON FARM","Guthrie Center","IA",
"10803","06/22/22","MISC","5542","UNISHIPPERS","645.60","445.14","200.46","31.05","","","","","","","","DEFAULT","UNISHIPPERS","Walcott","IA",
"10948-1","10/18/22","MISC","114250","THOMPSON FARM","184.07","167.34","16.73","9.09","","","","","","","","DEFAULT","THOMPSON FARM","Guthrie Center","IA",
"10976","10/23/22","MISC","3431","BRADY FLINK","45.91","41.74","4.17","9.08","","","","","","","","DEFAULT","BRADY FLINK","WEST DES MOINES","IA",
"","","MISC","","Product Totals","1059.28","844.30","214.98","20.29","0.00","",

"10561","12/23/21","REPFCE","2562","UPS CLAIMS PROCESSING","3866.87","1207.61","2659.26","68.77","","","","","","","","2","CAT #248","DUNCAN","SC",
"","","REPFCE","","Product Totals","3866.87","1207.61","2659.26","68.77","0.00","",

"SC6986","02/07/22","SRVCE","5926","J THOMPSON BUILDERS","0.00","60.78","-60.78","","","","","","","","","1","STONEY CREEK INN - JTHOMPSON BUILDERS","JOHNSTON","IA",
"","","SRVCE","","Product Totals","0.00","60.78","-60.78","","0.00","",

"","","","","Salesperson  Totals","4926.15","2112.69","2813.46","57.11","0.00","",

"10835-1","09/12/22","ALUM","4095","JOHN BOYT INDUSTRIAL SEWING","864.04","307.26","556.78","64.44","","ADAM","0.030","","","","","DEFAULT","JOHN BOYT INDUSTRIAL SEWING","URBANDALE","IA",
"","","ALUM","","Product Totals","864.04","307.26","556.78","64.44","0.00","ADAM",

"10736","05/06/22","MISC","4095","JOHN BOYT INDUSTRIAL SEWING","0.00","20.75","-20.75","","","ADAM","0.030","","","","","DEFAULT","JOHN BOYT INDUSTRIAL SEWING","URBANDALE","IA",
"","","MISC","","Product Totals","0.00","20.75","-20.75","","0.00","ADAM",

"","","","","Salesperson ADAM Totals","864.04","328.01","536.03","62.04","0.00","ADAM",

"10538","11/29/21","INSTL","77950","NAGLE SIGNS  INC.","175.00","151.95","23.05","13.17","","HOUSE","","","","","","384","SECOND CHANCE THRIFT STORE - NAGLE SIGNS","MARSHALLTOWN","IA",
