6-Nov-25,15:54:56,,,GROSS MARGIN BY SALESPERSON,,,,,,,,,,
,,,,PERIOD: 11/01/24 through 11/01/25,,,,,,,,,,
,,,,,,,,,,,,,,
Invoice No,Inv Date,Prod Code,Cust No,Customer Name,Gross Sales,Total Cost,Gross Margin,GM %,Extra Charge,Location No,Location Name,City,State,
,,,,,,,,,,,,,,
SC8452,9/23/2025,01,77950,NAGLE SIGNS  INC.,418.7,355.88,62.82,15,,206,TOBACCO OUTLET -PLUS,URBANDALE,IA,
,,01,,Product Totals,418.7,355.88,62.82,15,0,,,,,
,,,,,,,,,,,,,,
12364,4/16/2025,BANNER,6238,CHAD NELSON,17.5,17.5,0,0,,DEFAULT,CHAD NELSON,WEST DES MOINES,IA,
12410,5/16/2025,BANNER,6237,CORINA KEELING,0,53,-53,,,DEFAULT,CORINA KEELING,NORWALK,IA,
,,BANNER,,Product Totals,17.5,70.5,-53,-302.86,0,,,,,
,,,,,,,,,,,,,,
12431,6/3/2025,LIFTS,69050,LOZIER HEATING & COOLING,187.5,105.75,81.75,43.6,,2,TRIZIA-LOZIER,DES MOINES,IA,
12440,6/11/2025,LIFTS,69050,LOZIER HEATING & COOLING,250,141.13,108.87,43.55,,3,BONNIE´S BARRICADES-LOZIER,DES MOINES,IA,
,,LIFTS,,Product Totals,437.5,246.88,190.62,43.57,0,,,,,
,,,,,,,,,,,,,,
12380,5/14/2025,MISC,5943,MATT ZELIADT,184.41,167.67,16.74,9.08,,DEFAULT,MATT ZELIADT,DES MOINES,IA,
12426,5/28/2025,MISC,77950,NAGLE SIGNS  INC.,86.9,69.52,17.38,20,,DEFAULT,"NAGLE SIGNS, INC.",Waterloo,IA,
12483,7/21/2025,MISC,5866,TIMBER CREEK THERAPIES,0,303,-303,,,DEFAULT,TIMBER CREEK THERAPIES,GUTHRIE CENTER,IA,
12503,10/7/2025,MISC,4779,EAGLE SIGN CO.,0,74.37,-74.37,,,DEFAULT,EAGLE SIGN CO.,GRIMES,IA,
